Úroveò,Název funkce,Poèet volání,% uplynulého celkového èasu,% uplynulého výhradního èasu,Prùmìrný uplynulý celkový èas,Prùmìrný uplynulý výhradní èas,Název modulu,
0,"Profiling.exe",0,"100,00","0,00","0,00","0,00","",
1,"mainCRTStartup",1,"100,00","0,21","8,66","0,02","Profiling.exe",
2,"__scrt_common_main",1,"99,79","17,07","8,64","1,48","Profiling.exe",
3,"__scrt_common_main_seh",1,"82,71","0,13","7,16","0,01","Profiling.exe",
4,"invoke_main",1,"78,68","0,01","6,81","0,00","Profiling.exe",
5,"main",1,"78,67","0,00","6,81","0,00","Profiling.exe",
6,"profiling",1,"72,57","2,31","6,29","0,20","Profiling.exe",
7,"fscanf",1 001,"55,59","2,27","0,00","0,00","Profiling.exe",
8,"_vfscanf_l",1 001,"53,03","3,00","0,00","0,00","Profiling.exe",
9,"__stdio_common_vfscanf",1 001,"47,69","47,69","0,00","0,00","ucrtbased.dll",
9,"__local_stdio_scanf_options",1 001,"2,05","1,78","0,00","0,00","Profiling.exe",
10,"__CheckForDebuggerJustMyCode",1 001,"0,13","0,13","0,00","0,00","Profiling.exe",
10,"_RTC_CheckEsp",1 001,"0,13","0,13","0,00","0,00","Profiling.exe",
9,"_RTC_CheckEsp",2 002,"0,16","0,16","0,00","0,00","Profiling.exe",
9,"__CheckForDebuggerJustMyCode",1 001,"0,13","0,13","0,00","0,00","Profiling.exe",
8,"__CheckForDebuggerJustMyCode",1 001,"0,15","0,15","0,00","0,00","Profiling.exe",
8,"_RTC_CheckEsp",1 001,"0,14","0,14","0,00","0,00","Profiling.exe",
7,"fopen",1,"7,50","7,50","0,65","0,65","ucrtbased.dll",
7,"MaafLajbrry::add",2 000,"4,41","3,44","0,00","0,00","Profiling.exe",
8,"__CheckForDebuggerJustMyCode",2 000,"0,51","0,51","0,00","0,00","Profiling.exe",
8,"_RTC_CheckEsp",2 000,"0,46","0,46","0,00","0,00","Profiling.exe",
7,"MaafLajbrry::pow",1 001,"2,50","2,03","0,00","0,00","Profiling.exe",
8,"__CheckForDebuggerJustMyCode",1 001,"0,30","0,30","0,00","0,00","Profiling.exe",
8,"_RTC_CheckEsp",1 001,"0,17","0,17","0,00","0,00","Profiling.exe",
7,"MaafLajbrry::rad",1,"0,24","0,05","0,02","0,00","Profiling.exe",
8,"MaafLajbrry::pow",59,"0,17","0,17","0,00","0,00","Profiling.exe",
9,"_RTC_CheckEsp",59,"0,00","0,00","0,00","0,00","Profiling.exe",
9,"__CheckForDebuggerJustMyCode",59,"0,00","0,00","0,00","0,00","Profiling.exe",
8,"_dtol3",1,"0,01","0,01","0,00","0,00","Profiling.exe",
8,"_allrem",1,"0,00","0,00","0,00","0,00","Profiling.exe",
8,"__CheckForDebuggerJustMyCode",1,"0,00","0,00","0,00","0,00","Profiling.exe",
8,"_RTC_CheckEsp",1,"0,00","0,00","0,00","0,00","Profiling.exe",
7,"MaafLajbrry::divid",2,"0,01","0,01","0,00","0,00","Profiling.exe",
8,"__CheckForDebuggerJustMyCode",2,"0,00","0,00","0,00","0,00","Profiling.exe",
8,"_RTC_CheckEsp",2,"0,00","0,00","0,00","0,00","Profiling.exe",
7,"_RTC_CheckStackVars",1,"0,00","0,00","0,00","0,00","Profiling.exe",
7,"MaafLajbrry::MaafLajbrry",1,"0,00","0,00","0,00","0,00","Profiling.exe",
8,"__CheckForDebuggerJustMyCode",1,"0,00","0,00","0,00","0,00","Profiling.exe",
8,"_RTC_CheckEsp",1,"0,00","0,00","0,00","0,00","Profiling.exe",
7,"MaafLajbrry::mul",1,"0,00","0,00","0,00","0,00","Profiling.exe",
8,"__CheckForDebuggerJustMyCode",1,"0,00","0,00","0,00","0,00","Profiling.exe",
