Úroveò,Název funkce,Poèet volání,% uplynulého celkového èasu,% uplynulého výhradního èasu,Prùmìrný uplynulý celkový èas,Prùmìrný uplynulý výhradní èas,Název modulu,
0,"Profiling.exe",0,"100,00","0,00","0,00","0,00","",
1,"mainCRTStartup",1,"100,00","0,99","1,68","0,02","Profiling.exe",
2,"__scrt_common_main",1,"99,01","2,92","1,67","0,05","Profiling.exe",
3,"__scrt_common_main_seh",1,"96,08","0,52","1,62","0,01","Profiling.exe",
4,"invoke_main",1,"78,72","0,03","1,32","0,00","Profiling.exe",
5,"main",1,"78,69","0,02","1,32","0,00","Profiling.exe",
6,"profiling",1,"57,76","0,19","0,97","0,00","Profiling.exe",
7,"fopen",1,"35,10","35,10","0,59","0,59","ucrtbased.dll",
7,"fscanf",11,"21,24","0,13","0,03","0,00","Profiling.exe",
8,"_vfscanf_l",11,"21,09","0,14","0,03","0,00","Profiling.exe",
9,"__stdio_common_vfscanf",11,"20,85","20,85","0,03","0,03","ucrtbased.dll",
9,"__local_stdio_scanf_options",11,"0,10","0,10","0,00","0,00","Profiling.exe",
10,"__CheckForDebuggerJustMyCode",11,"0,00","0,00","0,00","0,00","Profiling.exe",
10,"_RTC_CheckEsp",11,"0,00","0,00","0,00","0,00","Profiling.exe",
9,"_RTC_CheckEsp",22,"0,01","0,01","0,00","0,00","Profiling.exe",
9,"__CheckForDebuggerJustMyCode",11,"0,00","0,00","0,00","0,00","Profiling.exe",
8,"__CheckForDebuggerJustMyCode",11,"0,01","0,01","0,00","0,00","Profiling.exe",
8,"_RTC_CheckEsp",11,"0,00","0,00","0,00","0,00","Profiling.exe",
7,"MaafLajbrry::rad",1,"0,86","0,22","0,01","0,00","Profiling.exe",
8,"MaafLajbrry::pow",58,"0,55","0,55","0,00","0,00","Profiling.exe",
9,"__CheckForDebuggerJustMyCode",58,"0,00","0,00","0,00","0,00","Profiling.exe",
9,"_RTC_CheckEsp",58,"0,00","0,00","0,00","0,00","Profiling.exe",
8,"_dtol3",1,"0,06","0,06","0,00","0,00","Profiling.exe",
8,"_allrem",1,"0,02","0,02","0,00","0,00","Profiling.exe",
8,"__CheckForDebuggerJustMyCode",1,"0,00","0,00","0,00","0,00","Profiling.exe",
8,"_RTC_CheckEsp",1,"0,00","0,00","0,00","0,00","Profiling.exe",
7,"MaafLajbrry::add",20,"0,18","0,16","0,00","0,00","Profiling.exe",
8,"__CheckForDebuggerJustMyCode",20,"0,02","0,02","0,00","0,00","Profiling.exe",
8,"_RTC_CheckEsp",20,"0,00","0,00","0,00","0,00","Profiling.exe",
7,"MaafLajbrry::pow",11,"0,12","0,12","0,00","0,00","Profiling.exe",
8,"__CheckForDebuggerJustMyCode",11,"0,00","0,00","0,00","0,00","Profiling.exe",
8,"_RTC_CheckEsp",11,"0,00","0,00","0,00","0,00","Profiling.exe",
7,"MaafLajbrry::divid",2,"0,03","0,03","0,00","0,00","Profiling.exe",
8,"__CheckForDebuggerJustMyCode",2,"0,00","0,00","0,00","0,00","Profiling.exe",
8,"_RTC_CheckEsp",2,"0,00","0,00","0,00","0,00","Profiling.exe",
7,"MaafLajbrry::MaafLajbrry",1,"0,01","0,01","0,00","0,00","Profiling.exe",
8,"_RTC_CheckEsp",1,"0,00","0,00","0,00","0,00","Profiling.exe",
8,"__CheckForDebuggerJustMyCode",1,"0,00","0,00","0,00","0,00","Profiling.exe",
7,"MaafLajbrry::mul",1,"0,01","0,01","0,00","0,00","Profiling.exe",
8,"__CheckForDebuggerJustMyCode",1,"0,00","0,00","0,00","0,00","Profiling.exe",
8,"_RTC_CheckEsp",1,"0,00","0,00","0,00","0,00","Profiling.exe",
7,"MaafLajbrry::sub",1,"0,01","0,01","0,00","0,00","Profiling.exe",
8,"__CheckForDebuggerJustMyCode",1,"0,00","0,00","0,00","0,00","Profiling.exe",
